Pking_Entrez_geneID	GO_IDs
111833174	GO:0030246
111833175	GO:0004362,GO:0009055,GO:0016491,GO:0016668,GO:0050660,GO:0050661
111833176	GO:0000166,GO:0000287,GO:0004012,GO:0005524,GO:0016787
111833177	GO:0000166,GO:0005524,GO:0016740
111833178	GO:0008270,GO:0046872
111833179	GO:0009055,GO:0015035
111833181	GO:0003674
111833183	GO:0001965,GO:0005509,GO:0008092,GO:0042803,GO:0045296
111833184	GO:0003676,GO:0003723
111833185	
111833186	GO:0005262
111833187	GO:0005096,GO:0017137
111833188	GO:0032266
111833189	GO:0004335,GO:0005524,GO:0005534,GO:0016301,GO:0016740,GO:0016773
111833190	GO:0008270,GO:0046872
111833192	
111833193	GO:0000166,GO:0004550,GO:0005524,GO:0016301,GO:0016740
111833194	
111833197	
111833198	
111833199	
111833200	GO:0004672,GO:0004674,GO:0004709,GO:0005524
111833201	GO:0003676,GO:0003700,GO:0043565,GO:0046872
111833202	GO:0003677
111833203	GO:0003713,GO:0008270,GO:0046872
111833205	
111833206	GO:0005452,GO:0008509,GO:0015106,GO:0015301,GO:0042895
111833207	GO:0005509
111833208	GO:0005515
111833209	GO:0000287,GO:0003875,GO:0005096,GO:0017137
111833210	GO:0008168,GO:0008175,GO:0016740
111833211	GO:0005085,GO:0005096,GO:0017034
111833212	GO:0005515,GO:0042802
111833213	GO:0003676,GO:0046872
111833215	GO:0016491
111833216	GO:0003674
111833217	
111833218	GO:0003676,GO:0008168,GO:0016740,GO:0018024,GO:0046872
111833219	GO:0003712
111833220	GO:0005198
111833221	GO:0005198
111833222	GO:0003824,GO:0004082,GO:0004619,GO:0016853,GO:0016868
111833223	GO:0004767,GO:0016787,GO:0046872,GO:0050290
111833225	
111833226	
111833227	GO:0000166,GO:0003777,GO:0005524,GO:0008017,GO:0016887
111833228	GO:0022857
111833230	GO:0005242,GO:0005244,GO:0015272
111833231	GO:0005102,GO:0005109
111833232	
111833234	GO:0017154
111833235	GO:0005515,GO:0043015
111833236	GO:0003674
111833237	
111833238	
111833240	GO:0003677,GO:0043565
111833241	GO:0005179
111833243	GO:0001591,GO:0004930,GO:0004935,GO:0004952,GO:0035240
111833245	GO:0003779,GO:0004497,GO:0016491,GO:0016709,GO:0046872,GO:0071949
111833246	
111833247	
111833252	GO:0008093,GO:0070840
111833253	
111833254	
111833255	GO:0000166,GO:0005267,GO:0005524,GO:0008281,GO:0016887,GO:0042626
111833256	
111833257	
111833258	GO:0000166,GO:0003824,GO:0003938,GO:0016491,GO:0046872
111833259	GO:0005096,GO:0017137
111833260	
111833261	
111833262	GO:0003676,GO:0003723
111833263	
111833264	GO:0008139,GO:0008565
111833265	GO:0003677,GO:0003700,GO:0044212
111833267	GO:0003677,GO:0004672,GO:0005524,GO:0016301,GO:0016740
111833269	GO:0000976,GO:0000977,GO:0000981,GO:0001078,GO:0001103,GO:0001227,GO:0003677,GO:0003700,GO:0003707,GO:0004879,GO:0005504,GO:0008134,GO:0008144,GO:0008270,GO:0008289,GO:0030374,GO:0038023,GO:0043565,GO:0046872
111833270	
111833271	GO:0004674
111833272	GO:0004407,GO:0008270,GO:0016787,GO:0032041,GO:0033558,GO:0047611
111833273	GO:0003779
111833274	GO:0003779
111833275	
111833276	GO:0030215,GO:0038191,GO:0045499
111833277	GO:0030215,GO:0038191,GO:0045499
111833279	GO:0005509,GO:0016504
111833280	GO:0046872
111833281	GO:0003676,GO:0004518
111833282	
111833283	GO:0000981,GO:0003677,GO:0043565
111833284	
111833285	GO:0046872
111833286	
111833288	GO:0005096,GO:0048365
111833289	
111833291	GO:0004843,GO:0036459
111833292	
111833294	GO:0003723,GO:0009982,GO:0016853
111833295	GO:0003674
111833296	GO:0004970,GO:0004971,GO:0005216,GO:0038023
111833297	GO:0000166,GO:0000287,GO:0004672,GO:0004674,GO:0005524,GO:0016301,GO:0016740
111833298	GO:0004930,GO:0045028
111833299	GO:0003779,GO:0003785,GO:0051015
111833300	GO:0004672,GO:0004674,GO:0005524
111833301	
111833302	GO:0003824,GO:0004721,GO:0004722,GO:0016787
111833304	
111833305	GO:0003676,GO:0003723
111833306	
111833307	GO:0000166,GO:0003723,GO:0004812,GO:0004831,GO:0005524,GO:0016874
111833308	GO:0004861,GO:0016301,GO:0016740,GO:0019901,GO:0019903,GO:0030544,GO:0044877,GO:0051087
111833309	GO:0008270,GO:0046872
111833311	GO:0005215,GO:0022857
111833312	
111833313	GO:0005509,GO:0046872
111833314	
111833315	
111833318	GO:0005515,GO:0017147
111833319	GO:0003950,GO:0046872
111833320	
111833321	GO:0046872
111833322	GO:0004930,GO:0005000
111833323	GO:0004222,GO:0008237
111833324	GO:0005509
111833331	
111833335	
111833336	
111833337	
111833338	
111833339	GO:0003824,GO:0015020,GO:0016740,GO:0016757,GO:0030145,GO:0042285,GO:0046872
111833341	
111833343	GO:0005216,GO:0005244,GO:0005249,GO:0005251,GO:0005267
111833344	
111833346	GO:0003674
111833350	GO:0005509
111833351	GO:0003674
111833352	GO:0003779,GO:0051015
111833353	GO:0005125,GO:0005160,GO:0008083
111833355	GO:0003690,GO:0003700
111833356	GO:0015485
111833357	GO:0000166,GO:0005524
111833358	GO:0004342,GO:0016787,GO:0042802
111833359	GO:0008121
111833360	GO:0005104,GO:0005178,GO:0008083,GO:0008201,GO:0044548
111833361	
111833362	GO:0003723,GO:0004518,GO:0004519,GO:0004521,GO:0016787,GO:0046872
111833364	
111833365	
111833366	GO:0000166,GO:0003924,GO:0005525,GO:0032947
111833367	GO:0004672,GO:0016538,GO:0019901
111833368	GO:0003677,GO:0003700,GO:0003707,GO:0004883,GO:0005496,GO:0008270,GO:0043565,GO:0046872
111833369	GO:0005096
111833370	GO:0004672,GO:0016538,GO:0019901
111833371	GO:0051082
111833372	GO:0015293
111833373	GO:0003674
111833374	GO:0050699
111833375	GO:0005216,GO:0005244,GO:0005245,GO:0005262,GO:0008331
111833376	GO:0003729,GO:0008047
111833377	GO:0000166,GO:0005524
111833378	
111833379	GO:0008812,GO:0016614,GO:0050660
111833380	GO:0005096
111833381	
111833382	
111833383	
111833384	GO:0003824
111833385	GO:0016740,GO:0047173
111833386	
111833387	GO:0005201
111833389	GO:0003674
111833390	GO:0005509
