Pking_Entrez_geneID	GO_IDs
111833146	
111833147	GO:0016020,GO:0016021
111833148	
111833149	GO:0005764,GO:0005765,GO:0005768,GO:0016020,GO:0016021,GO:0031902
111833150	
111833151	GO:0005887,GO:0016020,GO:0016021,GO:0043209
111833153	
111833154	
111833155	GO:0005737
111833156	GO:0016020,GO:0016021
111833157	GO:0016020,GO:0016021
111833158	GO:0016020,GO:0016021
111833159	GO:0005737,GO:0005852,GO:0071541
111833161	GO:0016020,GO:0016021
111833165	GO:0005634
111833167	
111833169	GO:0080008
111833170	GO:0005783,GO:0005789,GO:0016020,GO:0016021
111833171	GO:0016020,GO:0016021
111833172	GO:0005634,GO:0005737
111833173	GO:0005764
111833174	GO:0016020,GO:0016021
111833175	GO:0005737,GO:0005739,GO:0005829
111833176	GO:0005886,GO:0016020,GO:0016021
111833177	GO:0005575
111833178	GO:0016020,GO:0016021
111833179	
111833181	GO:0016020,GO:0016021
111833183	GO:0005886,GO:0005902,GO:0005913,GO:0005938,GO:0009986,GO:0016020,GO:0016021,GO:0016342,GO:0030057
111833184	GO:0016020,GO:0016021
111833185	GO:0005634,GO:0005737,GO:0005856
111833186	GO:0016020,GO:0016021
111833187	GO:0005737,GO:0005856,GO:0005886,GO:0030864
111833188	GO:0005737,GO:0005856,GO:0005886,GO:0005929,GO:0016020,GO:0034464,GO:0036064,GO:0042995,GO:0060170
111833189	GO:0005737,GO:0005829
111833190	GO:0005634
111833192	GO:0016020,GO:0016021
111833193	
111833194	
111833197	GO:0005829
111833198	GO:0016020,GO:0016021
111833199	
111833200	GO:0005634,GO:0005737
111833201	GO:0005634,GO:0005654
111833202	GO:0005634
111833203	GO:0000124,GO:0005634,GO:0071819
111833205	GO:0010494
111833206	GO:0005887,GO:0016020,GO:0016021
111833207	
111833208	GO:0016020,GO:0016021
111833209	
111833210	GO:0005737
111833211	
111833212	GO:0005615,GO:0016020,GO:0016021,GO:0031012
111833213	
111833215	GO:0016020,GO:0016021
111833216	GO:0016020,GO:0016021
111833217	
